物件名,住所,交通,築年数,部屋名,賃料,敷金,礼金,占有面積,間取り,所在階,向き,画像
ステーションガーデンタワー,東京都荒川区西日暮里2丁目25番1号,JR山手線 日暮里駅 徒歩 1 分,2008年4月,ステーションガーデンタワー,"16.4万円(16,000円)",1ヶ月,1ヶ月,36.33m²,1K,13階,南西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttps%253A%252F%252Fimg-dk.s3-ap-northeast-1.amazonaws.com%252Fimg%252Froom%252F5103%252F5103308%252F5103308_1.jpg&width=100&height=100
ステーションガーデンタワー,東京都荒川区西日暮里2丁目25番1号,JR山手線 日暮里駅 徒歩 1 分,2008年4月,ステーションガーデンタワー,"23万円(10,000円)",1ヶ月,1ヶ月,53.98m²,1LDK,32階,北西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F131970%252F1%252F1%252Fqkdz.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住 804,"16.9万円(11,000円)",0.5ヶ月,0.5ヶ月,37.14m²,ワンルーム,8階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F127689%252Frent%252F165313%252F1%252F1%252Fux8j.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"16.9万円(11,000円)",0.5ヶ月,0.5ヶ月,37.14m²,1K,7階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F142594%252Frent%252F130462%252F1%252F1%252Fh628.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"17.2万円(11,000円)",0.5ヶ月,0.5ヶ月,37.14m²,1K,11階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F147375%252Frent%252F62536%252F1%252F1%252Fd6m2.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"17.3万円(11,000円)",0.5ヶ月,0.5ヶ月,37.14m²,ワンルーム,10階,東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F5051%252Frent%252F205629%252F1%252F1%252Fte3j.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"17.4万円(11,000円)",1ヶ月,1ヶ月,37.14m²,1K,13階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225985%252F1%252F2%252Fgz7y.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"20万円(13,000円)",0.5ヶ月,0.5ヶ月,51.41m²,1LDK,16階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225981%252F1%252F2%252Fyrpg.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"20.3万円(13,000円)",1ヶ月,1ヶ月,45.25m²,1LDK,11階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225974%252F1%252F2%252Fh4el.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"20.5万円(13,000円)",1ヶ月,1ヶ月,45.25m²,1LDK,20階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225978%252F1%252F2%252Fi0q1.jpg&width=100&height=100
ロイヤルパークスタワー南千住,東京都荒川区南千住4丁目7番3号,JR常磐線(上野～取手) 南千住駅 徒歩 5 分,2008年5月,ロイヤルパークスタワー南千住,"21.6万円(13,000円)",1ヶ月,1ヶ月,51.41m²,1LDK,4階,西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F225977%252F1%252F2%252F9ad2.jpg&width=100&height=100
